Primary Identifier,Fine Fee Id,Remaining Amount,Notes
1111111,1111111,0.5,Active
2222222,2222222,6,Active
3333333,3333333,3,Active
4444444,4444444,0.5,Active
5555555,5555555,0.5,Active
6666666,6666666,0.5,Active
7777777,7777777,1.5,Active
8888888,8888888,0.5,Active
9999999,9999999,1.5,Active
11111110,11111110,2,Active
12222221,12222221,8,Active
13333332,13333332,2,Active
14444443,14444443,17.5,Active
15555554,15555554,4.5,Active
16666665,16666665,2,Active
17777776,17777776,2.5,Active
18888887,18888887,3.5,Active
19999998,19999998,8.5,Active
