,Primary Identifier,Fine Fee Id,Remaining Amount,Notes,Errors
0,1111111,1111111,0.5,No errors detected,No errors detected
1,2222222,2222222,6,No errors detected,No errors detected
2,3333333,3333333,3,No errors detected,No errors detected
3,4444444,4444444,0.5,No errors detected,No errors detected
4,5555555,5555555,0.5,No errors detected,No errors detected
5,6666666,6666666,0.5,No errors detected,No errors detected
6,7777777,7777777,1.5,No errors detected,No errors detected
7,8888888,8888888,0.5,No errors detected,No errors detected
8,9999999,9999999,1.5,No errors detected,No errors detected
9,11111110,11111110,2,No errors detected,No errors detected
10,12222221,12222221,8,No errors detected,No errors detected
11,13333332,13333332,2,No errors detected,No errors detected
12,14444443,14444443,17.5,No errors detected,No errors detected
13,15555554,15555554,4.5,No errors detected,No errors detected
14,16666665,16666665,2,No errors detected,No errors detected
15,17777776,17777776,2.5,No errors detected,No errors detected
16,18888887,18888887,3.5,No errors detected,No errors detected
17,19999998,19999998,8.5,No errors detected,No errors detected
